pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
2016-03-14 17:24,2016-03-14 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,455
2016-06-12 0:43,2016-06-12 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,663
2016-01-19 11:35,2016-01-19 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,2124
2016-04-06 19:32,2016-04-06 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,429
2016-03-26 13:30,2016-03-26 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,435
2016-01-30 22:01,2016-01-30 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,443
2016-06-17 22:34,2016-06-17 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,341
2016-05-21 7:54,2016-05-21 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,1551
2016-05-27 23:12,2016-05-27 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,255
2016-03-10 21:45,2016-03-10 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,1225
2016-05-10 22:08,2016-05-10 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,1274
2016-05-15 11:16,2016-05-15 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,1128
2016-02-19 9:52,2016-02-19 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,1114
2016-06-01 20:58,2016-06-01 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,260
2016-05-27 0:43,2016-05-27 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,1414
2016-05-16 15:29,2016-05-16 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,211
2016-04-11 17:29,2016-04-11 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,2316
2016-04-14 8:48,2016-04-14 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,731
2016-06-27 9:55,2016-06-27 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,1317
2016-06-05 13:47,2016-06-05 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,251
2016-02-28 2:23,2016-02-28 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,486
2016-04-01 12:12,2016-04-01 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,652
2016-04-09 3:34,2016-04-09 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,423
2016-06-25 10:36,2016-06-25 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,1163
2016-06-03 8:15,2016-06-03 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,2485
2016-02-14 13:27,2016-02-14 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,1283
2016-02-27 21:56,2016-02-27 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,1130
2016-06-20 23:07,2016-06-20 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,694
2016-06-13 21:57,2016-06-13 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,892
2016-03-23 14:10,2016-03-23 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,2331
2016-05-17 10:47,2016-05-17 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,1479
2016-05-21 13:03,2016-05-21 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,1048
2016-05-10 19:27,2016-05-10 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,1022
2016-04-17 14:38,2016-04-17 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,2269
2016-01-09 12:55,2016-01-09 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,707
2016-03-11 7:11,2016-03-11 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,526
2016-01-05 15:29,2016-01-05 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,553
2016-06-23 23:00,2016-06-23 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,277
2016-05-27 14:26,2016-05-27 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,1189
2016-05-10 16:14,2016-05-10 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,1523
2016-04-21 21:28,2016-04-21 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,1450
2016-04-14 13:27,2016-04-14 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,1102
2016-03-14 14:05,2016-03-14 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,1346
2016-03-19 1:12,2016-03-19 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,363
2016-02-12 7:41,2016-02-12 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,559
2016-06-13 15:52,2016-06-13 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,1478
2016-01-03 16:59,2016-01-03 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,348
2016-02-26 8:37,2016-02-26 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,375
2016-05-18 21:50,2016-05-18 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,1217
2016-04-10 19:11,2016-04-10 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,876
2016-01-19 23:19,2016-01-19 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,1557
2016-05-07 13:18,2016-05-07 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,1647
2016-02-15 9:25,2016-02-15 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,634
2016-04-13 14:24,2016-04-13 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,365
2016-05-15 9:42,2016-05-15 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,819
2016-04-19 11:29,2016-04-19 12:27,3,-73.79289246,40.65787888,-73.80918884,40.69018173,3528
2016-01-02 15:41,2016-01-02 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,1228
2016-04-22 11:28,2016-04-22 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,2607
2016-03-14 15:04,2016-03-14 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,695
2016-03-19 17:41,2016-03-19 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,472
2016-02-29 2:46,2016-02-29 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,526
2016-01-07 17:01,2016-01-07 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,721
2016-05-13 12:32,2016-05-13 12:40,1,-74.00180054,40.72613525,-74.00715637,40.74080658,512
2016-05-24 12:16,2016-05-24 12:28,1,-73.99409485,40.7615509,-73.9806366,40.78963852,720
2016-04-10 16:07,2016-04-10 16:10,1,-74.00632477,40.73339081,-74.00000763,40.74325562,174
2016-05-21 17:38,2016-05-21 17:46,1,-74.00257111,40.73931122,-73.99188232,40.74499893,478
2016-02-29 11:22,2016-02-29 11:35,1,-73.94830322,40.77443695,-73.96370697,40.75548553,788
2016-06-25 22:05,2016-06-25 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,1003
2016-03-18 20:56,2016-03-18 20:59,1,-74.00298309,40.72331238,-74.0015564,40.72882462,215
2016-02-03 16:22,2016-02-03 16:37,5,-73.97833252,40.75407028,-73.95973206,40.77275848,870
2016-06-07 22:32,2016-06-07 22:46,1,-73.86338043,40.76988983,-73.83712769,40.72135925,814
2016-03-16 20:13,2016-03-16 20:23,1,-73.99725342,40.71796036,-73.99925232,40.73001862,637
2016-02-20 21:58,2016-02-20 21:59,1,-73.95839691,40.77262878,-73.95513153,40.7742424,57
2016-02-20 18:57,2016-02-20 19:07,2,-73.99120331,40.74955368,-73.97919464,40.74630737,589
2016-03-24 17:58,2016-03-24 18:36,1,-73.99232483,40.73072052,-73.87250519,40.77449799,2275
2016-03-20 23:16,2016-03-20 23:27,1,-73.9888382,40.76890182,-73.95553589,40.77174377,647
2016-05-16 13:07,2016-05-16 13:34,3,-73.96472168,40.80660629,-73.98457336,40.76067734,1628
2016-06-17 17:32,2016-06-17 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,2337
2016-03-23 0:34,2016-03-23 0:45,1,-74.01116943,40.70360565,-74.00569153,40.74135971,674
2016-04-12 21:29,2016-04-12 21:49,1,-73.98031616,40.7588501,-74.01013947,40.70508194,1190
2016-06-11 12:52,2016-06-11 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,1191
2016-02-25 14:56,2016-02-25 15:09,1,-73.98712158,40.76847458,-73.97582245,40.75971222,785
2016-01-07 19:32,2016-01-07 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,520
2016-06-05 18:43,2016-06-05 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,218
2016-06-13 7:20,2016-06-13 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,222
2016-01-16 21:22,2016-01-16 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,1204
2016-04-06 23:42,2016-04-07 0:12,1,-73.78247833,40.64464569,-73.98112488,40.72088623,1782
2016-05-13 20:46,2016-05-13 21:06,2,-74.01395416,40.7128334,-73.99755096,40.7180748,1174
2016-01-28 11:25,2016-01-28 11:30,1,-73.96882629,40.75419617,-73.97275543,40.74661255,336
2016-06-24 14:24,2016-06-24 14:32,1,-74.00328827,40.72697067,-73.99330139,40.73912048,470
2016-05-27 16:17,2016-05-27 16:23,1,-73.99105835,40.73957062,-74.00610352,40.73455048,346
2016-05-22 15:41,2016-05-22 15:48,1,-73.9668808,40.78868103,-73.96282196,40.77572632,419
2016-05-18 19:15,2016-05-18 19:44,1,-73.96167755,40.77596664,-73.85739136,40.733284,1762
2016-03-31 11:33,2016-03-31 12:12,3,-73.86431885,40.7698288,-73.98586273,40.760952,2341
2016-02-13 13:12,2016-02-13 13:19,1,-73.99223328,40.74428177,-74.00823212,40.74882507,406
2016-01-20 19:21,2016-01-20 19:31,1,-73.97698212,40.75030136,-73.99912262,40.73950958,596
2016-06-02 23:34,2016-06-02 23:41,1,-73.97346497,40.75522995,-73.97736359,40.74282074,435
2016-02-04 13:22,2016-02-04 13:40,1,-73.98186493,40.7587738,-73.97022247,40.78414154,1108
2016-03-30 16:14,2016-03-30 17:01,1,-73.7898407,40.6435585,-73.97066498,40.68727875,2824
